audience,cost,description,features,icon,name,platform,url
"","","",dead junk,"",Temptation Blocker,windows,http://sourceforge.net/projects/temptblocker/
addict general,free,A very small text-only browser for Android.  It is reminiscent of lynx.,imageless,"",TextBrowser,android,https://play.google.com/store/apps/details?id=net.fro9.android.app.textbrowserfree
"",$1,"A browser that reduces data usage by displaying only readable content from web pages.  Ads, images, and scripts are not loaded.",imageless,"",TextOnly Reader Pro,android,https://play.google.com/store/apps/details?id=com.spacenext.textonly.reader.pro
"","","","","",TFK Internetfilter Plus,"",""
"","","",filtering monitoring,"",the Web Blocker,windows,http://www.thewebblocker.com/
"","","",hide isp,"",thejnet,"",""
"","","","","",tinyFilter,browser chrome,""
"","","","","",Totalnetguard,"",http://totalnetguard.com/index.asp
"","","",antivirus,"",Trend Micro,"",http://www.trendmicro.com/us/indexnight.html
"","","","","",Trend Micro Kids Safety - PS3,"",""
"","","","","",Trend Micro Mobile Security,"",""
"","","","","",Trend Micro Online Guardian,"",""
parent,$8-$10/month,"Originally founded as a dial up ISP back in the late 90s, True Vine now offers the TVO Blockit kit to filter the Internet from a ""Christian perspective.""  The company formerly used FilterPak.","","",True Vine Online,android ios macosx windows,http://www.truevine.net/
"",free,"","","",Trustwave SecureBrowsing,browser,https://www.trustwave.com/Products/SecureBrowsing/
overlord,"","","","",Trustwave Web Filtering,"",https://www.trustwave.com/Products/Content-Security/Web-Filtering/
"","","With UBhind, you can once and for all curb your smartphone overuse and regain control of your productivities!",applock monitoring timer,"",UBhind,android ios,http://www.rinasoftglobal.com/
antiad general,free,"",biglist filtering,"",uBlock,browser chrome firefox-52 firefox-56,https://github.com/gorhill/uBlock
"",free,"URLFilterService works categorizes sites using Shalla Secure Service and Université Toulouse 1 Capitole url listings.  The installation video shows that one must disable default Windows security in order to install it, and the FAQ says, ""Use it at your own risk.""  Indeed.",dns filtering,"",URLFilterService,windows,http://www.urlfilterservice.net/
overlord,"",Provides an easy way to comply with the Children's Internet Proetection Act (CIPA),filtering,"",UserGate,network,""
overlord,$100,Used for spying on employees.,monitoring spying,"",Variato,android macosx windows,http://www.veriato.com/
overlord,"","","","",Veriato 360,"",http://www.veriato.com/products/veriato-recon
parent,$70,"",screenshots,"",Verity,windows,http://www.nchsoftware.com/childmonitoring/
addict,"","The Victory App is a combination electronic journal, calendar, and book intended to help the user quit porn.",journal,"",Victory App,android ios,http://thevictoryapp.com/
"","","","","",Vise,"",""
"","","",hide isp network,"",Vocatech,"",""
overlord,"","","","",WanSecure,network,http://www.wanbound.com/
slacker,"","","","",WasteNoTime,chrome,https://chrome.google.com/webstore/detail/wastenotime/enebomhlllfaccbelnjhfgblnalofhch
overlord,"","",filtering,"",Web Filter (from Lightspeed Systems),"",http://www.lightspeedsystems.com/resources/web-filtering/
parent,$30,"",filtering monitoring screenshots spying timer,"",Web Patrol,windows,http://www.webwatcher.com/
"",25 Euro per year,"Like DansGuardian, but also works with https.  The project will target the Raspberry PI as an installation platform.",gateway icap network,"",Web Safety for Squid Proxy (qlproxy),linux macosx windows,http://quintolabs.com/
"","","",filtering,"",WebBlock,windows,http://www.content-filter-software.com/
"",$5 - $7/month,"",filtering monitoring timer,"",WebChaver,"",http://www.webchaver.com/
general parent,free,A proxy-based project that appears to be abandoned.  It was last updated in 2010.,abandoned opensource proxy,"",WebCleaner,linux macosx network windows,http://webcleaner.sourceforge.net/
overlord general,"",Lock your computer to a Web application.  Converts an ordinary computer to a kiosk.,opensource,"",Webconverger,linux,https://webconverger.com/
"","","","","",WebFilter Pro,browser firefox-56,https://addons.mozilla.org/en-US/firefox/addon/webfilter/
"","",A 2005 article by PhD students Mohamed Hammami of Ecole Centrale de Lyon in France and Liming Chen of Ecole Centrale de Lyon in France.  The company that published the article is http://www.idea-group.com/ and in 2016 offers SEO services.  It must not work.,dead skin,"",WebGuard,"",""
overlord,"","",dead,"",WebMinder,"",""
"","","",antivirus,"",Webroot,"",http://www.webroot.com/us/en/
parent,free,"",monitoring,"",WebSafety,android ios,https://www.websafety.com/
"","","","","",Websense,"",http://www.websense.com/content/Home.aspx
parent,free with email-based registration,"The software tracks browsing so that parents can see what their children are doing online.  The stated goal of the product is to provide an incentive for children to behave online when they know that what they are doing will be seen by their parents.  To get the product, you need to give your full name and email address.",monitoring,"",Webshadow,android ios windows,http://webshadow.org/
"","","","","",Website Blocker (Beta),browser chrome,https://chrome.google.com/webstore/detail/website-blocker-beta/hclgegipaehbigmbhdpfapmjadbaldib
overlord,$850/50 users/year,"",filtering monitoring,"",WebTitan,"",http://www.titanhq.com/webtitan
"","","",monitoring spying,"",WebWatcher,windows,http://www.webwatcher.com/
parent,free with advertizements,"",filtering timer,"",Wefisy,windows,""
"","","Parental Control by a whitelist of sites, admin is by password. We use this for young children to keep them on the sites we have pre approved. You can add new sites with the click of a button.","","",Whitelist Ninja,firefox-56,https://addons.mozilla.org/en-US/firefox/addon/white-list-ninja/
"","","","","",Whitenet,"",""
"",free,"","","",Windows Family Safety,windows,http://familysafety.microsoft.com/
general,free,"WOT is a browser plugin that displays a trust-level icon next to sites, based on input from users from around the world.  It works in Firefox, Chrome, Internet Explorer, and Opera.",biglist filtering,"",WOT,browser,https://www.mywot.com/
addict parent,free to $99/year,"Development of X3Watch seems to have ceased in 2017, and customers given the chance to transfer membership to EverAccountable.",abandoned ailing filtering monitoring password,http://x3watch.com/wp-content/themes/x3watch/images/x3NewLogo.png,X3Watch,android ios macosx windows,http://x3watch.com/
"","","","","",Xbox 360,"",""
"","","","","",Xooloo,"",""
"","","","","",Zone Alarm Security Suite,"",""
parent,"","",antivirus,"",ZoneAlarm,windows,http://www.zonealarm.com
overlord,"","","","",Zscaler,network,https://www.zscaler.com/
